date;  ttmpe ;  pe ; avg(pe) ;  pb 
2014/11/14; 38.56 ; 45.55 ; 35.86 ; 4.62 
2014/11/21; 40.88 ; 48.32 ; 35.89 ; 4.87 
2014/11/28; 43.94 ; 52.37 ; 35.92 ; 5.16 
2014/12/5; 45.76 ; 54.77 ; 35.97 ; 5.45 
2014/12/12; 46.30 ; 54.63 ; 36.01 ; 5.58 
2014/12/19; 45.05 ; 53.85 ; 36.05 ; 5.30 
2014/12/26; 44.44 ; 53.49 ; 36.09 ; 5.25 
2014/12/31; 50.62 ; 49.24 ; 36.12 ; 3.41 
2015/1/9; 51.90 ; 50.25 ; 36.16 ; 3.50 
2015/1/16; 52.24 ; 50.46 ; 36.19 ; 3.55 
2015/1/23; 52.82 ; 51.10 ; 36.22 ; 3.77 
2015/1/30; 51.28 ; 49.64 ; 36.25 ; 4.00 
2015/2/6; 50.93 ; 49.13 ; 36.28 ; 4.11 
2015/2/13; 52.46 ; 50.52 ; 36.32 ; 4.17 
2015/2/17; 52.47 ; 50.62 ; 36.35 ; 4.28 
2015/2/27; 53.46 ; 51.29 ; 36.38 ; 4.43 
2015/3/6; 54.30 ; 52.19 ; 36.42 ; 4.70 
2015/3/13; 54.96 ; 53.14 ; 36.46 ; 4.80 
2015/3/20; 56.68 ; 56.06 ; 36.50 ; 5.26 
2015/3/27; 60.18 ; 58.46 ; 36.55 ; 5.55 
2015/4/3; 64.32 ; 63.11 ; 36.61 ; 6.05 
2015/4/10; 67.45 ; 66.16 ; 36.67 ; 6.43 
2015/4/17; 69.70 ; 68.62 ; 36.74 ; 6.56 
2015/4/24; 66.86 ; 65.78 ; 36.81 ; 6.78 
2015/4/30; 68.86 ; 68.18 ; 36.88 ; 7.11 
2015/5/8; 67.30 ; 66.70 ; 36.94 ; 7.20 
2015/5/15; 74.26 ; 73.69 ; 37.03 ; 8.32 
2015/5/22; 85.29 ; 84.80 ; 37.13 ; 9.85 
2015/5/29; 91.09 ; 90.39 ; 37.25 ; 10.97 
2015/6/5; 95.24 ; 93.95 ; 37.37 ; 11.13 
2015/6/12; 99.22 ; 97.88 ; 37.51 ; 11.76 
2015/6/19; 84.59 ; 83.37 ; 37.61 ; 10.03 
2015/6/26; 78.71 ; 77.52 ; 37.69 ; 9.31 
2015/7/3; 62.61 ; 61.98 ; 37.75 ; 7.71 
2015/7/10; 60.58 ; 59.87 ; 37.79 ; 7.53 
2015/7/17; 66.68 ; 66.01 ; 37.85 ; 8.28 
2015/7/24; 74.86 ; 74.18 ; 37.93 ; 9.19 
2015/7/31; 71.72 ; 70.10 ; 38.00 ; 8.76 
2015/8/7; 74.36 ; 73.10 ; 38.08 ; 9.08 
2015/8/12; 77.50 ; 75.53 ; 38.16 ; 9.25 
